Largura:100  Altura:100 
Ofsset para os pixels: 138
Numero de compressao: 0
ponto final = 30140 
Pos: 140 ------- Red: 255, Green: 0, Blue: 0
Pos: 143 ------- Red: 255, Green: 0, Blue: 0
Pos: 146 ------- Red: 255, Green: 0, Blue: 0
Pos: 149 ------- Red: 255, Green: 0, Blue: 0
Pos: 152 ------- Red: 255, Green: 0, Blue: 0
Pos: 155 ------- Red: 255, Green: 0, Blue: 0
Pos: 158 ------- Red: 255, Green: 0, Blue: 0
Pos: 161 ------- Red: 255, Green: 0, Blue: 0
Pos: 164 ------- Red: 255, Green: 0, Blue: 0
Pos: 167 ------- Red: 255, Green: 0, Blue: 0
Pos: 170 ------- Red: 255, Green: 0, Blue: 0
Pos: 173 ------- Red: 255, Green: 0, Blue: 0
Pos: 176 ------- Red: 255, Green: 0, Blue: 0
Pos: 179 ------- Red: 255, Green: 0, Blue: 0
Pos: 182 ------- Red: 255, Green: 0, Blue: 0
Pos: 185 ------- Red: 255, Green: 0, Blue: 0
Pos: 188 ------- Red: 255, Green: 0, Blue: 0
Pos: 191 ------- Red: 255, Green: 0, Blue: 0
Pos: 194 ------- Red: 255, Green: 0, Blue: 0
Pos: 197 ------- Red: 255, Green: 0, Blue: 0
Pos: 200 ------- Red: 255, Green: 0, Blue: 0
Pos: 203 ------- Red: 255, Green: 0, Blue: 0
Pos: 206 ------- Red: 255, Green: 0, Blue: 0
Pos: 209 ------- Red: 255, Green: 0, Blue: 0
Pos: 212 ------- Red: 255, Green: 0, Blue: 0
Pos: 215 ------- Red: 255, Green: 0, Blue: 0
Pos: 218 ------- Red: 255, Green: 0, Blue: 0
Pos: 221 ------- Red: 255, Green: 0, Blue: 0
Pos: 224 ------- Red: 255, Green: 0, Blue: 0
Pos: 227 ------- Red: 255, Green: 0, Blue: 0
Pos: 230 ------- Red: 255, Green: 0, Blue: 0
Pos: 233 ------- Red: 255, Green: 0, Blue: 0
Pos: 236 ------- Red: 255, Green: 0, Blue: 0
Pos: 239 ------- Red: 255, Green: 0, Blue: 0
Pos: 242 ------- Red: 255, Green: 0, Blue: 0
Pos: 245 ------- Red: 255, Green: 0, Blue: 0
Pos: 248 ------- Red: 255, Green: 0, Blue: 0
Pos: 251 ------- Red: 255, Green: 0, Blue: 0
Pos: 254 ------- Red: 255, Green: 0, Blue: 0
Pos: 257 ------- Red: 255, Green: 0, Blue: 0
Pos: 260 ------- Red: 255, Green: 0, Blue: 0
Pos: 263 ------- Red: 255, Green: 0, Blue: 0
Pos: 266 ------- Red: 255, Green: 0, Blue: 0
